[1.0, 1.0, 0.501484375, 200, 200, 12838, 3.583298444747925, 0.017916492223739623]
[1.5, 1.0, 0.50171875, 200, 200, 12844, 3.475766181945801, 0.017378830909729005]
[2.0, 1.0, 0.49390625, 200, 200, 12644, 2.9057211875915527, 0.014528605937957764]
[2.5, 1.0, 0.4953515625, 200, 200, 12681, 2.4777963161468506, 0.012388981580734253]
[3.0, 1.0, 0.502578125, 200, 200, 12866, 2.400554656982422, 0.012002773284912109]
[3.5, 1.0, 0.5007421875, 200, 200, 12819, 2.3411102294921875, 0.011705551147460937]
[4.0, 1.0, 0.5051953125, 200, 200, 12933, 1.9219682216644287, 0.009609841108322144]
[4.5, 1.0, 0.4980078125, 200, 200, 12749, 1.5903325080871582, 0.007951662540435792]
[5.0, 1.0, 0.4909765625, 200, 200, 12569, 1.5214734077453613, 0.007607367038726807]
[5.5, 1.0, 0.5006640625, 200, 200, 12817, 1.5136642456054688, 0.007568321228027344]
